text,chunk_id,chunk_index,word_count,product_id,original_title,brand,category,price,availability
"Product: Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey) Brand: wayona Category: electronics/computers Price: ₹399 0 Description: High Compatibility : Compatible With iPhone 12, 11, X/XsMax/Xr ,iPhone 8/8 Plus,iPhone 7/7 Plus,iPhone 6s/6s Plus,iPhone 6/6 Plus,iPhone 5/5s/5c/se,iPad Pro,iPad Air 1/2,iPad mini 1/2/3,iPod nano7,iPod touch and more apple devices Fast Charge&Data Sync : It can charge and sync simultaneously at a rapid speed, Compatible with any charging adaptor, multi-port charging station or power bank",B07JW9H4J1_chunk_0,0,96,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",wayona,electronics/computers,399.0,True
"Fast Charge&Data Sync : It can charge and sync simultaneously at a rapid speed, Compatible with any charging adaptor, multi-port charging station or power bank Durability : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility High Security Level : It is designed to fully protect your device from damaging excessive current Copper core thick+Multilayer shielding, Anti-interference, Protective circuit equipment WARRANTY: 12 months warranty and friendly customer services, ensures the long-time enjoyment of your purchase If you meet any question or problem, please don't hesitate to contact us",B07JW9H4J1_chunk_1,1,107,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",wayona,electronics/computers,399.0,True
"Product: Ambrane Unbreakable 60W / 3A Fast Charging 1 5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3 0 (RCT15A, Black) Brand: ambrane Category: electronics/computers Price: ₹199 0 Description: Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc) Supports Quick Charging (2 0/3 0) Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage Ideal Length – It has ideal length of 1 5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable",B098NS6PVG_chunk_0,0,123,B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",ambrane,electronics/computers,199.0,True
It has ideal length of 1 5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable Supports maximum 3A fast charging and 480 Mbps data transfer speed 6 months manufacturer warranty from the date of purchase,B098NS6PVG_chunk_1,1,45,B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",ambrane,electronics/computers,199.0,True
"Product: Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices Brand: sounce Category: electronics/computers Price: ₹199 0 Description: 【 Fast Charger& Data Sync】-With built-in safety proctections and four-core copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mb/s transferring speed 【 Compatibility】-Compatible with iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS devices 【 Sturdy & Durable】-The jacket and enforced connector made of TPE and premium copper, are resistant to repeatedly bending and coiling",B096MSW6CT_chunk_0,0,107,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",sounce,electronics/computers,199.0,True
"Mini & iOS devices 【 Sturdy & Durable】-The jacket and enforced connector made of TPE and premium copper, are resistant to repeatedly bending and coiling 【 Ultra High Quality】: According to the experimental results, the fishbone design can accept at least 20,000 bending and insertion tests for extra protection and durability Upgraded 3D aluminum connector and exclusive laser welding technology, which to ensure the metal part won't break and also have a tighter connection which fits well even with a protective case on and will never loose connection 【 Good After Sales Service】-Our friendly and reliable customer service will respond to you within 24 hours you can purchase with confidence,and every sale includes a 365-day worry-free Service to prove the importance we set on quality",B096MSW6CT_chunk_1,1,125,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",sounce,electronics/computers,199.0,True
"Product: boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1 5m Length(Martian Red) Brand: boat Category: electronics/computers Price: ₹329 0 Description: The boAt Deuce USB 300 2 in 1 cable is compatible with smartphones, tablets, PC peripherals, Bluetooth speakers, power banks and all other devices with Type-C as well as Micro USB port It ensures 3A fast charging and data transmissions with rapid sync at 480 mbps The premium Nylon braided skin makes it sturdy and invincible against external damage Its Aluminium alloy shell housing makes it last longer with 10000+ Bends Lifespan with extended frame protection for strain relief",B08HDJ86NZ_chunk_0,0,121,B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",boat,electronics/computers,329.0,True
and invincible against external damage Its Aluminium alloy shell housing makes it last longer with 10000+ Bends Lifespan with extended frame protection for strain relief The resilient and flexible design offers a tangle free experience seamlessly Deuce USB 300 cable offers a perfect 1 5 meters in length for smooth & hassle-free user experience 2 years warranty from the date of purchase,B08HDJ86NZ_chunk_1,1,62,B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",boat,electronics/computers,329.0,True
"Product: Portronics Konnect L 1 2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey) Brand: portronics Category: electronics/computers Price: ₹154 0 Description: [CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function [HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly [LONG CORD]- The Cable is extra thick 1 2 meter long, optimized for an easy use for your comfort at home or office [MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using",B08CF3B7N1_chunk_0,0,107,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",portronics,electronics/computers,154.0,True
"home or office [MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using [UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",B08CF3B7N1_chunk_1,1,48,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",portronics,electronics/computers,154.0,True
